date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:20	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-692ff7b8-9153ee86f2d4a043;gz%22	https://www.shopifydirectory.avatarteaams.com/robots.txt		(from )
15:34:41	385847/385847	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20May%202026%2014:33:07%20GMT	https://www.shopifydirectory.avatarteaams.com/	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/www.shopifydirectory.avatarteaams.com/index.html	(from )
15:34:57	305644/305644	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Apr%202026%2002:03:21%20GMT	https://cdn.shopify.com/shopifycloud/world/brochure/production-shopify/assets/partners.v4-BozyPF27.css	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/cdn.shopify.com/shopifycloud/world/brochure/production-shopify/assets/partners.v4-BozyPF27.css	(from https://www.shopifydirectory.avatarteaams.com/)
15:34:58	739721/739721	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202026%2005:14:02%20GMT	https://cdn.shopify.com/b/shopify-brochure2-assets/f963136134f7ad162294fd6a76561013.png?width=1200&height=630	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/cdn.shopify.com/b/shopify-brochure2-assets/f963136134f7ad162294fd6a765610136875.png	(from https://www.shopifydirectory.avatarteaams.com/)
15:34:59	3754/3754	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202026%2016:25:04%20GMT	https://cdn.shopify.com/b/shopify-brochure2-assets/c97c60ca19c64a8b5378d9f9e971f7bd.png	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/cdn.shopify.com/b/shopify-brochure2-assets/c97c60ca19c64a8b5378d9f9e971f7bd.png	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:00	11309/11309	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202026%2014:49:58%20GMT	https://cdn.shopify.com/b/shopify-brochure2-assets/b13486e5693b246af63c66ab047a6b6b.png	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/cdn.shopify.com/b/shopify-brochure2-assets/b13486e5693b246af63c66ab047a6b6b.png	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:01	5632/5632	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202026%2002:36:49%20GMT	https://cdn.shopify.com/b/shopify-brochure2-assets/8734d76c98437c8ae8a628bbeed3750a.png	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/cdn.shopify.com/b/shopify-brochure2-assets/8734d76c98437c8ae8a628bbeed3750a.png	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:01	4759/4759	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202026%2003:14:36%20GMT	https://cdn.shopify.com/b/shopify-brochure2-assets/193f18e4855704ef1716dc0cd750c1ee.png	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/cdn.shopify.com/b/shopify-brochure2-assets/193f18e4855704ef1716dc0cd750c1ee.png	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:06	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-692ff7b8-9153ee86f2d4a043;gz%22	https://www.shopifydirectory.avatarteaams.com/partners	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/www.shopifydirectory.avatarteaams.com/partners.6.delayed	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:08	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-692ff7b8-9153ee86f2d4a043;gz%22	https://www.shopifydirectory.avatarteaams.com/services/identity/login?return_to=https%3A%2F%2Fshopify.com%2Fpartners%2Fdirectory	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/www.shopifydirectory.avatarteaams.com/services/identity/logindde3	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:09	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-692ff7b8-9153ee86f2d4a043;gz%22	https://www.shopifydirectory.avatarteaams.com/partners/directory/services	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/www.shopifydirectory.avatarteaams.com/partners/directory/services	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:10	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-692ff7b8-9153ee86f2d4a043;gz%22	https://www.shopifydirectory.avatarteaams.com/partners/directory/technologies	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/www.shopifydirectory.avatarteaams.com/partners/directory/technologies	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:11	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-692ff7b8-9153ee86f2d4a043;gz%22	https://www.shopifydirectory.avatarteaams.com/partners/directory/services/marketing-and-sales/email-marketing	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/www.shopifydirectory.avatarteaams.com/partners/directory/services/marketing-and-sales/email-marketing	(from https://www.shopifydirectory.avatarteaams.com/)
15:35:11	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-692ff7b8-9153ee86f2d4a043;gz%22	https://www.shopifydirectory.avatarteaams.com/partners/directory/services/marketing-and-sales/seo-and-paid-search	C:/My%20Web%20Sites/My%20shopify%20directory%20clone/www.shopifydirectory.avatarteaams.com/partners/directory/services/marketing-and-sales/seo-and-paid-search	(from https://www.shopifydirectory.avatarteaams.com/)
